Geography,Financial Year,Budget Phase,Class,Service Name,Total
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,Refuse removal,202.37
BUF,2018/19,Original Budget,Indigent HH receiving FBS,Refuse removal,220.58
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,Refuse removal,220.58
BUF,2019/20,Budget Year,Indigent HH receiving FBS,Refuse removal,241.21
BUF,2020/21,Budget Year,Indigent HH receiving FBS,Refuse removal,260.5
BUF,2021/22,Budget Year,Indigent HH receiving FBS,Refuse removal,274.57
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,Other,36.63
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,Other,39.41
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,Other,43.04
BUF,2018/19,Original Budget,Indigent HH receiving FBS,Other,46.91
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,Other,46.91
BUF,2019/20,Budget Year,Indigent HH receiving FBS,Other,51.28
BUF,2020/21,Budget Year,Indigent HH receiving FBS,Other,55.33
BUF,2021/22,Budget Year,Indigent HH receiving FBS,Other,58.32
NMA,2015/16,Audited Outcome,Middle Income Range,Property rates,555.82
NMA,2016/17,Audited Outcome,Middle Income Range,Property rates,608.62
NMA,2017/18,Audited Outcome,Middle Income Range,Property rates,635.28
NMA,2018/19,Original Budget,Middle Income Range,Property rates,667.04
NMA,2018/19,Adjusted Budget,Middle Income Range,Property rates,667.04
NMA,2019/20,Budget Year,Middle Income Range,Property rates,718.87
NMA,2020/21,Budget Year,Middle Income Range,Property rates,787.31
NMA,2021/22,Budget Year,Middle Income Range,Property rates,862.57
NMA,2015/16,Audited Outcome,Middle Income Range,Electricity: Basic levy,
NMA,2016/17,Audited Outcome,Middle Income Range,Electricity: Basic levy,
NMA,2017/18,Audited Outcome,Middle Income Range,Electricity: Basic levy,
NMA,2018/19,Original Budget,Middle Income Range,Electricity: Basic levy,
NMA,2018/19,Adjusted Budget,Middle Income Range,Electricity: Basic levy,
NMA,2019/20,Budget Year,Middle Income Range,Electricity: Basic levy,
NMA,2020/21,Budget Year,Middle Income Range,Electricity: Basic levy,
NMA,2021/22,Budget Year,Middle Income Range,Electricity: Basic levy,
NMA,2015/16,Audited Outcome,Middle Income Range,Electricity: Consumption,1395.95
NMA,2016/17,Audited Outcome,Middle Income Range,Electricity: Consumption,1516.67
NMA,2017/18,Audited Outcome,Middle Income Range,Electricity: Consumption,1551.77
NMA,2018/19,Original Budget,Middle Income Range,Electricity: Consumption,1642.39
NMA,2018/19,Adjusted Budget,Middle Income Range,Electricity: Consumption,1642.39
NMA,2019/20,Budget Year,Middle Income Range,Electricity: Consumption,1857.05
NMA,2020/21,Budget Year,Middle Income Range,Electricity: Consumption,1883.18
NMA,2021/22,Budget Year,Middle Income Range,Electricity: Consumption,2166.97
NMA,2015/16,Audited Outcome,Middle Income Range,Water: Basic levy,34.92
NMA,2016/17,Audited Outcome,Middle Income Range,Water: Basic levy,38.06
NMA,2017/18,Audited Outcome,Middle Income Range,Water: Basic levy,41.49
NMA,2018/19,Original Budget,Middle Income Range,Water: Basic levy,45.02
NMA,2018/19,Adjusted Budget,Middle Income Range,Water: Basic levy,45.02
NMA,2019/20,Budget Year,Middle Income Range,Water: Basic levy,48.4
NMA,2020/21,Budget Year,Middle Income Range,Water: Basic levy,52.99
NMA,2021/22,Budget Year,Middle Income Range,Water: Basic levy,58.19
NMA,2015/16,Audited Outcome,Middle Income Range,Water: Consumption,336.24
NMA,2016/17,Audited Outcome,Middle Income Range,Water: Consumption,366.54
NMA,2017/18,Audited Outcome,Middle Income Range,Water: Consumption,399.36
NMA,2018/19,Original Budget,Middle Income Range,Water: Consumption,433.31
NMA,2018/19,Adjusted Budget,Middle Income Range,Water: Consumption,433.31
NMA,2019/20,Budget Year,Middle Income Range,Water: Consumption,465.81
NMA,2020/21,Budget Year,Middle Income Range,Water: Consumption,510.06
NMA,2021/22,Budget Year,Middle Income Range,Water: Consumption,560.05
NMA,2015/16,Audited Outcome,Middle Income Range,Sanitation,226.26
NMA,2016/17,Audited Outcome,Middle Income Range,Sanitation,246.6
NMA,2017/18,Audited Outcome,Middle Income Range,Sanitation,268.74
NMA,2018/19,Original Budget,Middle Income Range,Sanitation,291.58
NMA,2018/19,Adjusted Budget,Middle Income Range,Sanitation,291.58
NMA,2019/20,Budget Year,Middle Income Range,Sanitation,313.45
NMA,2020/21,Budget Year,Middle Income Range,Sanitation,343.23
NMA,2021/22,Budget Year,Middle Income Range,Sanitation,376.86
NMA,2015/16,Audited Outcome,Middle Income Range,Refuse removal,85.76
NMA,2016/17,Audited Outcome,Middle Income Range,Refuse removal,93.47
NMA,2017/18,Audited Outcome,Middle Income Range,Refuse removal,102.0
NMA,2018/19,Original Budget,Middle Income Range,Refuse removal,109.65
NMA,2018/19,Adjusted Budget,Middle Income Range,Refuse removal,109.65
NMA,2019/20,Budget Year,Middle Income Range,Refuse removal,117.87
NMA,2020/21,Budget Year,Middle Income Range,Refuse removal,129.07
NMA,2021/22,Budget Year,Middle Income Range,Refuse removal,141.33
NMA,2015/16,Audited Outcome,Middle Income Range,Other,
NMA,2016/17,Audited Outcome,Middle Income Range,Other,29.38
NMA,2017/18,Audited Outcome,Middle Income Range,Other,41.49
NMA,2018/19,Original Budget,Middle Income Range,Other,45.02
NMA,2018/19,Adjusted Budget,Middle Income Range,Other,45.02
NMA,2019/20,Budget Year,Middle Income Range,Other,48.4
NMA,2020/21,Budget Year,Middle Income Range,Other,52.99
NMA,2021/22,Budget Year,Middle Income Range,Other,58.19
NMA,2015/16,Audited Outcome,Affordable Range,Property rates,393.54
NMA,2016/17,Audited Outcome,Affordable Range,Property rates,430.92
NMA,2017/18,Audited Outcome,Affordable Range,Property rates,449.8
NMA,2018/19,Original Budget,Affordable Range,Property rates,472.28
NMA,2018/19,Adjusted Budget,Affordable Range,Property rates,472.28
NMA,2019/20,Budget Year,Affordable Range,Property rates,508.98
NMA,2020/21,Budget Year,Affordable Range,Property rates,557.43
NMA,2021/22,Budget Year,Affordable Range,Property rates,610.72
NMA,2015/16,Audited Outcome,Affordable Range,Electricity: Basic levy,
NMA,2016/17,Audited Outcome,Affordable Range,Electricity: Basic levy,
NMA,2017/18,Audited Outcome,Affordable Range,Electricity: Basic levy,
NMA,2018/19,Original Budget,Affordable Range,Electricity: Basic levy,
NMA,2018/19,Adjusted Budget,Affordable Range,Electricity: Basic levy,
NMA,2019/20,Budget Year,Affordable Range,Electricity: Basic levy,
NMA,2020/21,Budget Year,Affordable Range,Electricity: Basic levy,
NMA,2021/22,Budget Year,Affordable Range,Electricity: Basic levy,
NMA,2015/16,Audited Outcome,Affordable Range,Electricity: Consumption,622.82
NMA,2016/17,Audited Outcome,Affordable Range,Electricity: Consumption,676.62
NMA,2017/18,Audited Outcome,Affordable Range,Electricity: Consumption,691.93
NMA,2018/19,Original Budget,Affordable Range,Electricity: Consumption,732.34
NMA,2018/19,Adjusted Budget,Affordable Range,Electricity: Consumption,732.34
NMA,2019/20,Budget Year,Affordable Range,Electricity: Consumption,828.06
NMA,2020/21,Budget Year,Affordable Range,Electricity: Consumption,944.56
NMA,2021/22,Budget Year,Affordable Range,Electricity: Consumption,1086.91
NMA,2015/16,Audited Outcome,Affordable Range,Water: Basic levy,34.92
NMA,2016/17,Audited Outcome,Affordable Range,Water: Basic levy,38.06
NMA,2017/18,Audited Outcome,Affordable Range,Water: Basic levy,41.49
NMA,2018/19,Original Budget,Affordable Range,Water: Basic levy,45.02
NMA,2018/19,Adjusted Budget,Affordable Range,Water: Basic levy,45.02
NMA,2019/20,Budget Year,Affordable Range,Water: Basic levy,48.4
NMA,2020/21,Budget Year,Affordable Range,Water: Basic levy,52.99
NMA,2021/22,Budget Year,Affordable Range,Water: Basic levy,58.19
NMA,2015/16,Audited Outcome,Affordable Range,Water: Consumption,269.44
NMA,2016/17,Audited Outcome,Affordable Range,Water: Consumption,293.69
NMA,2017/18,Audited Outcome,Affordable Range,Water: Consumption,319.96
NMA,2018/19,Original Budget,Affordable Range,Water: Consumption,347.15
NMA,2018/19,Adjusted Budget,Affordable Range,Water: Consumption,347.15
NMA,2019/20,Budget Year,Affordable Range,Water: Consumption,373.19
NMA,2020/21,Budget Year,Affordable Range,Water: Consumption,408.64
NMA,2021/22,Budget Year,Affordable Range,Water: Consumption,448.69
NMA,2015/16,Audited Outcome,Affordable Range,Sanitation,188.55
NMA,2016/17,Audited Outcome,Affordable Range,Sanitation,205.5
NMA,2017/18,Audited Outcome,Affordable Range,Sanitation,223.95
NMA,2018/19,Original Budget,Affordable Range,Sanitation,242.99
NMA,2018/19,Adjusted Budget,Affordable Range,Sanitation,242.99
NMA,2019/20,Budget Year,Affordable Range,Sanitation,261.21
NMA,2020/21,Budget Year,Affordable Range,Sanitation,286.03
NMA,2021/22,Budget Year,Affordable Range,Sanitation,314.06
NMA,2015/16,Audited Outcome,Affordable Range,Refuse removal,85.76
NMA,2016/17,Audited Outcome,Affordable Range,Refuse removal,93.47
NMA,2017/18,Audited Outcome,Affordable Range,Refuse removal,102.0
NMA,2018/19,Original Budget,Affordable Range,Refuse removal,109.65
NMA,2018/19,Adjusted Budget,Affordable Range,Refuse removal,109.65
NMA,2019/20,Budget Year,Affordable Range,Refuse removal,117.87
NMA,2020/21,Budget Year,Affordable Range,Refuse removal,129.07
NMA,2021/22,Budget Year,Affordable Range,Refuse removal,141.72
NMA,2015/16,Audited Outcome,Affordable Range,Other,
NMA,2016/17,Audited Outcome,Affordable Range,Other,29.38
NMA,2017/18,Audited Outcome,Affordable Range,Other,41.49
NMA,2018/19,Original Budget,Affordable Range,Other,45.02
NMA,2018/19,Adjusted Budget,Affordable Range,Other,45.02
NMA,2019/20,Budget Year,Affordable Range,Other,48.4
NMA,2020/21,Budget Year,Affordable Range,Other,52.99
NMA,2021/22,Budget Year,Affordable Range,Other,58.19
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,Property rates,
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,Property rates,
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,Property rates,
NMA,2018/19,Original Budget,Indigent HH receiving FBS,Property rates,
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,Property rates,
NMA,2019/20,Budget Year,Indigent HH receiving FBS,Property rates,
NMA,2020/21,Budget Year,Indigent HH receiving FBS,Property rates,
NMA,2021/22,Budget Year,Indigent HH receiving FBS,Property rates,
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
NMA,2018/19,Original Budget,Indigent HH receiving FBS,Electricity: Basic levy,
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,Electricity: Basic levy,
NMA,2019/20,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
NMA,2020/21,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
NMA,2021/22,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,232.84
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,250.64
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,255.34
NMA,2018/19,Original Budget,Indigent HH receiving FBS,Electricity: Consumption,270.25
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,Electricity: Consumption,270.25
NMA,2019/20,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,305.57
NMA,2020/21,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,348.57
NMA,2021/22,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,401.09
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
NMA,2018/19,Original Budget,Indigent HH receiving FBS,Water: Basic levy,
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,Water: Basic levy,
NMA,2019/20,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
NMA,2020/21,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
NMA,2021/22,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,128.04
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,139.56
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,152.04
NMA,2018/19,Original Budget,Indigent HH receiving FBS,Water: Consumption,164.96
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,Water: Consumption,164.96
NMA,2019/20,Budget Year,Indigent HH receiving FBS,Water: Consumption,177.33
NMA,2020/21,Budget Year,Indigent HH receiving FBS,Water: Consumption,194.18
NMA,2021/22,Budget Year,Indigent HH receiving FBS,Water: Consumption,213.21
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,Sanitation,69.68
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,Sanitation,73.98
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,Sanitation,80.62
NMA,2018/19,Original Budget,Indigent HH receiving FBS,Sanitation,87.47
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,Sanitation,87.47
NMA,2019/20,Budget Year,Indigent HH receiving FBS,Sanitation,94.03
NMA,2020/21,Budget Year,Indigent HH receiving FBS,Sanitation,102.96
NMA,2021/22,Budget Year,Indigent HH receiving FBS,Sanitation,113.05
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,Refuse removal,
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,Refuse removal,
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,Refuse removal,
NMA,2018/19,Original Budget,Indigent HH receiving FBS,Refuse removal,
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,Refuse removal,
NMA,2019/20,Budget Year,Indigent HH receiving FBS,Refuse removal,
NMA,2020/21,Budget Year,Indigent HH receiving FBS,Refuse removal,
NMA,2021/22,Budget Year,Indigent HH receiving FBS,Refuse removal,
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,Other,
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,Other,
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,Other,
NMA,2018/19,Original Budget,Indigent HH receiving FBS,Other,
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,Other,
NMA,2019/20,Budget Year,Indigent HH receiving FBS,Other,
NMA,2020/21,Budget Year,Indigent HH receiving FBS,Other,
NMA,2021/22,Budget Year,Indigent HH receiving FBS,Other,
EC101,2015/16,Audited Outcome,Middle Income Range,Property rates,
EC101,2016/17,Audited Outcome,Middle Income Range,Property rates,
EC101,2017/18,Audited Outcome,Middle Income Range,Property rates,
