Code,Description,2015/16 AUD,2016/17 AUD,2017/18 AUD,2018/19 OB,2018/19 AB,2019/20 BY,2020/21 BY,2021/22 BY
NMA,Sanitation,226.26 ,246.60 ,268.74 ,291.58 ,291.58 ,313.45 ,343.23 ,376.86 
NMA,Refuse removal,85.76 ,93.47 ,102.00 ,109.65 ,109.65 ,117.87 ,129.07 ,141.33 
NMA,Other,,29.38 ,41.49 ,45.02 ,45.02 ,48.40 ,52.99 ,58.19 
NMA,sub-total,"2,634.95 ","2,899.34 ","3,040.13 ","3,234.01 ","3,234.01 ","3,569.84 ","3,758.83 ","4,224.16 "
NMA,VAT on Services,291.08 ,320.70 ,336.68 ,385.05 ,385.05 ,427.65 ,445.73 ,504.24 
NMA,Total large household bill:,"2,926.03 ","3,220.04 ","3,376.81 ","3,619.06 ","3,619.06 ","3,997.49 ","4,204.56 ","4,728.40 "
NMA,% increase/-decrease,,10.05 ,4.87 ,7.17 ,,10.46 ,5.18 ,12.46 
NMA,Monthly Account for Household - Affordable Range,,,,,,,,
NMA,Rates and services charges:,,,,,,,,
NMA,Property rates,393.54 ,430.92 ,449.80 ,472.28 ,472.28 ,508.98 ,557.43 ,610.72 
NMA,Electricity: Basic levy,,,,,,,,
NMA,Electricity: Consumption,622.82 ,676.62 ,691.93 ,732.34 ,732.34 ,828.06 ,944.56 ,"1,086.91 "
NMA,Water: Basic levy,34.92 ,38.06 ,41.49 ,45.02 ,45.02 ,48.40 ,52.99 ,58.19 
NMA,Water: Consumption,269.44 ,293.69 ,319.96 ,347.15 ,347.15 ,373.19 ,408.64 ,448.69 
NMA,Sanitation,188.55 ,205.50 ,223.95 ,242.99 ,242.99 ,261.21 ,286.03 ,314.06 
NMA,Refuse removal,85.76 ,93.47 ,102.00 ,109.65 ,109.65 ,117.87 ,129.07 ,141.72 
NMA,Other,,29.38 ,41.49 ,45.02 ,45.02 ,48.40 ,52.99 ,58.19 
NMA,sub-total,"1,595.03 ","1,767.64 ","1,870.62 ","1,994.45 ","1,994.45 ","2,186.10 ","2,431.72 ","2,718.47 "
NMA,VAT on Services,168.21 ,187.14 ,198.91 ,228.33 ,228.33 ,251.57 ,281.14 ,316.16 
NMA,Total large household bill:,"1,763.24 ","1,954.78 ","2,069.53 ","2,222.78 ","2,222.78 ","2,437.67 ","2,712.87 ","3,034.64 "
NMA,% increase/-decrease,,10.86 ,5.87 ,7.41 ,,9.67 ,11.29 ,11.86 
NMA,Monthly Account for Household - Indigent HH receiving FBS,,,,,,,,
NMA,Rates and services charges:,,,,,,,,
NMA,Property rates,,,,,,,,
NMA,Electricity: Basic levy,,,,,,,,
NMA,Electricity: Consumption,232.84 ,250.64 ,255.34 ,270.25 ,270.25 ,305.57 ,348.57 ,401.09 
NMA,Water: Basic levy,,,,,,,,
NMA,Water: Consumption,128.04 ,139.56 ,152.04 ,164.96 ,164.96 ,177.33 ,194.18 ,213.21 
NMA,Sanitation,69.68 ,73.98 ,80.62 ,87.47 ,87.47 ,94.03 ,102.96 ,113.05 
NMA,Refuse removal,,,,,,,,
NMA,Other,,,,,,,,
NMA,sub-total,430.56 ,464.18 ,488.00 ,522.68 ,522.68 ,576.93 ,645.71 ,727.36 
NMA,VAT on Services,60.28 ,64.99 ,68.32 ,78.40 ,78.40 ,86.54 ,96.86 ,109.10 
NMA,Total large household bill:,490.84 ,529.17 ,556.32 ,601.08 ,601.08 ,663.47 ,742.56 ,836.46 
NMA,% increase/-decrease,,7.81 ,5.13 ,8.05 ,,10.38 ,11.92 ,12.64 
EC101,Monthly Account for Household - Middle Income Range,,,,,,,,
EC101,Rates and services charges:,,,,,,,,
EC101,Property rates,,,,433.83 ,433.83 ,359.57 ,381.14 ,404.01 
EC101,Electricity: Basic levy,,,,224.19 ,224.19 ,257.82 ,273.29 ,289.68 
EC101,Electricity: Consumption,,,,"1,502.00 ","1,502.00 ","1,727.30 ","1,830.94 ","1,940.79 "
EC101,Water: Basic levy,,,,44.37 ,44.37 ,47.03 ,49.85 ,52.84 
EC101,Water: Consumption,,,,186.10 ,186.10 ,281.20 ,298.07 ,315.96 
EC101,Sanitation,,,,83.03 ,83.03 ,115.73 ,122.67 ,130.03 
EC101,Refuse removal,,,,82.82 ,82.82 ,118.78 ,125.91 ,133.46 
EC101,Other,,,,,,,,
EC101,sub-total,,,,"2,556.34 ","2,556.34 ","2,907.43 ","3,081.87 ","3,266.78 "
EC101,VAT on Services,,,,318.38 ,318.38 ,382.18 ,405.11 ,429.42 
EC101,Total large household bill:,,,,"2,874.72 ","2,874.72 ","3,289.61 ","3,486.98 ","3,696.20 "
EC101,% increase/-decrease,,,,,,14.43 ,6.00 ,6.00 
EC101,Monthly Account for Household - Affordable Range,,,,,,,,
EC101,Rates and services charges:,,,,,,,,
EC101,Property rates,,,,370.20 ,370.20 ,307.08 ,325.50 ,345.03 
EC101,Electricity: Basic levy,,,,224.19 ,224.19 ,257.82 ,273.29 ,289.68 
EC101,Electricity: Consumption,,,,637.00 ,637.00 ,732.55 ,776.50 ,823.09 
EC101,Water: Basic levy,,,,44.37 ,44.37 ,47.03 ,49.85 ,52.84 
EC101,Water: Consumption,,,,127.65 ,127.65 ,222.75 ,236.12 ,250.28 
EC101,Sanitation,,,,83.03 ,83.03 ,115.73 ,122.67 ,130.03 
EC101,Refuse removal,,,,82.82 ,82.82 ,118.78 ,125.91 ,133.46 
EC101,Other,,,,,,,,
EC101,sub-total,,,,"1,569.26 ","1,569.26 ","1,801.73 ","1,909.84 ","2,024.43 "
EC101,VAT on Services,,,,179.86 ,179.86 ,224.20 ,237.65 ,251.91 
EC101,Total large household bill:,,,,"1,749.12 ","1,749.12 ","2,025.93 ","2,147.49 ","2,276.34 "
EC101,% increase/-decrease,,,,,,15.83 ,6.00 ,6.00 
EC101,Monthly Account for Household - Indigent HH receiving FBS,,,,,,,,
EC101,Rates and services charges:,,,,,,,,
EC101,Property rates,,,,,,,,
EC101,Electricity: Basic levy,,,,,,,,
EC101,Electricity: Consumption,,,300.00 ,333.00 ,333.00 ,382.95 ,405.93 ,430.28 
EC101,Water: Basic levy,,,,,,,,
EC101,Water: Consumption,,,,70.47 ,70.47 ,173.25 ,183.65 ,194.66 
EC101,Sanitation,,,,,,,,
EC101,Refuse removal,,,,,,,,
EC101,Other,,,,,,,,
EC101,sub-total,,,300.00 ,403.47 ,403.47 ,556.20 ,589.57 ,624.95 
EC101,VAT on Services,,,,60.52 ,60.52 ,83.43 ,88.44 ,93.74 
EC101,Total large household bill:,,,300.00 ,463.99 ,463.99 ,639.63 ,678.01 ,718.69 
EC101,% increase/-decrease,,,,54.66 ,,37.85 ,6.00 ,6.00 
EC102,Monthly Account for Household - Middle Income Range,,,,,,,,
EC102,Rates and services charges:,,,,,,,,
EC102,Property rates,412.73 ,454.01 ,499.41 ,549.35 ,549.35 ,582.31 ,617.25 ,654.28 
EC102,Electricity: Basic levy,130.49 ,140.46 ,143.10 ,152.89 ,152.89 ,172.87 ,183.24 ,194.24 
EC102,Electricity: Consumption,"1,355.50 ","1,462.00 ","1,489.49 ","1,591.37 ","1,591.37 ","1,799.36 ","1,907.32 ","2,021.76 "
EC102,Water: Basic levy,63.90 ,69.65 ,74.11 ,78.55 ,78.55 ,83.27 ,88.26 ,93.56 
EC102,Water: Consumption,167.22 ,182.27 ,193.93 ,205.57 ,205.57 ,217.90 ,230.98 ,244.84 
EC102,Sanitation,41.39 ,45.13 ,48.02 ,50.90 ,50.90 ,53.95 ,57.19 ,60.62 
EC102,Refuse removal,90.27 ,98.39 ,104.69 ,104.69 ,104.69 ,110.97 ,117.63 ,124.69 
EC102,Other,,,,,,,,
EC102,sub-total,"2,261.50 ","2,451.91 ","2,552.74 ","2,733.31 ","2,733.31 ","3,020.63 ","3,201.87 ","3,393.98 "
EC102,VAT on Services,258.83 ,279.71 ,279.71 ,327.59 ,327.59 ,365.75 ,387.69 ,410.95 
EC102,Total large household bill:,"2,520.32 ","2,731.61 ","2,832.45 ","3,060.91 ","3,060.91 ","3,386.38 ","3,589.56 ","3,804.94 "
EC102,% increase/-decrease,,8.38 ,3.69 ,8.07 ,,10.63 ,6.00 ,6.00 
EC102,Monthly Account for Household - Affordable Range,,,,,,,,
EC102,Rates and services charges:,,,,,,,,
EC102,Property rates,412.73 ,454.01 ,454.01 ,499.41 ,499.41 ,529.37 ,561.13 ,594.80 
EC102,Electricity: Basic levy,130.49 ,140.46 ,132.94 ,142.04 ,142.04 ,160.60 ,170.24 ,180.45 
EC102,Electricity: Consumption,596.00 ,644.00 ,607.20 ,648.74 ,648.74 ,709.78 ,752.37 ,797.51 
EC102,Water: Basic levy,63.90 ,69.65 ,67.99 ,72.07 ,72.07 ,76.39 ,80.97 ,85.83 
EC102,Water: Consumption,167.22 ,182.27 ,177.92 ,188.60 ,188.60 ,199.91 ,211.91 ,224.62 
EC102,Sanitation,41.39 ,45.11 ,44.04 ,46.68 ,46.68 ,49.48 ,52.45 ,55.60 
EC102,Refuse removal,90.27 ,98.39 ,96.04 ,96.04 ,96.04 ,101.81 ,107.92 ,114.39 
EC102,Other,,,,,,,,
EC102,sub-total,"1,502.00 ","1,633.89 ","1,580.14 ","1,693.57 ","1,693.57 ","1,827.35 ","1,936.99 ","2,053.21 "
EC102,VAT on Services,152.50 ,165.18 ,168.92 ,179.12 ,179.12 ,194.70 ,206.38 ,218.76 
EC102,Total large household bill:,"1,654.49 ","1,799.07 ","1,749.07 ","1,872.69 ","1,872.69 ","2,022.04 ","2,143.36 ","2,271.97 "
EC102,% increase/-decrease,,8.74 ,(2.78),7.07 ,,7.98 ,6.00 ,6.00 
EC102,Monthly Account for Household - Indigent HH receiving FBS,,,,,,,,
EC102,Rates and services charges:,,,,,,,,
EC102,Property rates,171.72 ,188.90 ,188.90 ,207.79 ,207.79 ,220.25 ,233.47 ,247.48 
EC102,Electricity: Basic levy,,,,,,,,
EC102,Electricity: Consumption,,,,,,,,
EC102,Water: Basic levy,,,,,,,,
EC102,Water: Consumption,,,,,,,,
EC102,Sanitation,,,,,,,,
EC102,Refuse removal,,,,,,,,
EC102,Other,,,,,,,,
EC102,sub-total,171.72 ,188.90 ,188.90 ,207.79 ,207.79 ,220.25 ,233.47 ,247.48 
EC102,VAT on Services,,,,,,,,
EC102,Total large household bill:,171.72 ,188.90 ,188.90 ,207.79 ,207.79 ,220.25 ,233.47 ,247.48 
EC102,% increase/-decrease,,10.00 ,,10.00 ,,6.00 ,6.00 ,6.00 
EC104,Monthly Account for Household - Middle Income Range,,,,,,,,
EC104,Rates and services charges:,,,,,,,,
EC104,Property rates,,,,308.42 ,308.42 ,326.92 ,346.53 ,367.32 
EC104,Electricity: Basic levy,,,,141.94 ,141.94 ,160.49 ,170.12 ,180.33 
EC104,Electricity: Consumption,,,,"1,460.00 ","1,460.00 ","1,650.82 ","1,749.87 ","1,854.86 "
EC104,Water: Basic levy,,,,151.51 ,151.51 ,160.60 ,170.24 ,180.45 
EC104,Water: Consumption,,,,252.60 ,252.60 ,267.76 ,283.82 ,300.85 
EC104,Sanitation,,,,130.13 ,130.13 ,137.94 ,146.21 ,154.98 
EC104,Refuse removal,,,,70.38 ,70.38 ,83.75 ,88.78 ,94.10 
EC104,Other,,,,,,,,
EC104,sub-total,,,,"2,514.98 ","2,514.98 ","2,788.27 ","2,955.57 ","3,132.91 "
EC104,VAT on Services,,,,330.98 ,330.98 ,369.20 ,391.36 ,414.84 
EC104,Total large household bill:,,,,"2,845.96 ","2,845.96 ","3,157.48 ","3,346.93 ","3,547.74 "
EC104,% increase/-decrease,,,,,,10.95 ,6.00 ,6.00 
EC104,Monthly Account for Household - Affordable Range,,,,,,,,
EC104,Rates and services charges:,,,,,,,,
EC104,Property rates,,,,218.37 ,218.37 ,231.47 ,245.35 ,260.08 
EC104,Electricity: Basic levy,,,,141.94 ,141.94 ,160.49 ,170.12 ,180.33 
EC104,Electricity: Consumption,,,,730.00 ,730.00 ,825.41 ,874.94 ,927.43 
EC104,Water: Basic levy,,,,151.51 ,151.51 ,160.60 ,170.24 ,180.45 
EC104,Water: Consumption,,,,204.45 ,204.45 ,216.72 ,229.72 ,243.50 
EC104,Sanitation,,,,130.13 ,130.13 ,137.94 ,146.21 ,154.98 
EC104,Refuse removal,,,,70.38 ,70.38 ,83.75 ,88.78 ,94.10 
EC104,Other,,,,,,,,
EC104,sub-total,,,,"1,646.78 ","1,646.78 ","1,816.37 ","1,925.36 ","2,040.88 "
EC104,VAT on Services,,,,214.26 ,214.26 ,237.74 ,252.00 ,267.12 
EC104,Total large household bill:,,,,"1,861.04 ","1,861.04 ","2,054.11 ","2,177.36 ","2,308.00 "
EC104,% increase/-decrease,,,,,,10.37 ,6.00 ,6.00 
EC104,Monthly Account for Household - Indigent HH receiving FBS,,,,,,,,
EC104,Rates and services charges:,,,,,,,,
EC104,Property rates,,,,,,,,
EC104,Electricity: Basic levy,,,,,,,,
EC104,Electricity: Consumption,,,,438.00 ,438.00 ,495.25 ,524.96 ,556.46 
EC104,Water: Basic levy,,,,,,,,
EC104,Water: Consumption,,,,114.96 ,114.96 ,121.86 ,129.17 ,136.92 
EC104,Sanitation,,,,,,,,
EC104,Refuse removal,,,,,,,,
EC104,Other,,,,,,,,
EC104,sub-total,,,,552.96 ,552.96 ,617.10 ,654.13 ,693.38 
EC104,VAT on Services,,,,82.94 ,82.94 ,92.57 ,98.12 ,104.01 
EC104,Total large household bill:,,,,635.90 ,635.90 ,709.67 ,752.25 ,797.39 
EC104,% increase/-decrease,,,,,,11.60 ,6.00 ,6.00 
EC105,Monthly Account for Household - Middle Income Range,,,,,,,,
EC105,Rates and services charges:,,,,,,,,
EC105,Property rates,,,,532.47 ,,564.42 ,592.64 ,622.27 
EC105,Electricity: Basic levy,,,,203.78 ,,230.27 ,241.79 ,253.87 
EC105,Electricity: Consumption,,,,487.14 ,,552.90 ,580.55 ,609.57 
EC105,Water: Basic levy,,,,94.86 ,,100.55 ,105.58 ,110.86 
EC105,Water: Consumption,,,,210.96 ,,223.62 ,234.80 ,246.54 
EC105,Sanitation,,,,,,,,
EC105,Refuse removal,,,,89.89 ,,95.28 ,100.05 ,105.05 
EC105,Other,,,,23.39 ,,24.79 ,26.03 ,27.33 
EC105,sub-total,,,,"1,642.49 ",,"1,791.84 ","1,881.43 ","1,975.50 "
EC105,VAT on Services,,,,,,,,
EC105,Total large household bill:,,,,"1,642.49 ",,"1,791.84 ","1,881.43 ","1,975.50 "
EC105,% increase/-decrease,,,,,(100.00),,5.00 ,5.00 
EC105,Monthly Account for Household - Affordable Range,,,,,,,,
EC105,Rates and services charges:,,,,,,,,
EC105,Property rates,,,,420.53 ,,443.66 ,468.06 ,493.80 
EC105,Electricity: Basic levy,,,,203.78 ,,216.01 ,227.89 ,240.42 
EC105,Electricity: Consumption,,,,350.00 ,,371.00 ,391.41 ,412.93 
EC105,Water: Basic levy,,,,94.86 ,,100.55 ,106.08 ,111.92 
EC105,Water: Consumption,,,,150.00 ,,159.00 ,167.75 ,176.97 
EC105,Sanitation,,,,,,,,
EC105,Refuse removal,,,,89.89 ,,95.28 ,100.52 ,106.05 
EC105,Other,,,,23.33 ,,24.73 ,26.09 ,27.53 
EC105,sub-total,,,,"1,332.39 ",,"1,410.23 ","1,487.80 ","1,569.63 "
EC105,VAT on Services,,,,,,,,
EC105,Total large household bill:,,,,"1,332.39 ",,"1,410.23 ","1,487.80 ","1,569.63 "
EC105,% increase/-decrease,,,,,(100.00),,5.50 ,5.50 
EC105,Monthly Account for Household - Indigent HH receiving FBS,,,,,,,,
EC105,Rates and services charges:,,,,,,,,
EC105,Property rates,,,,231.64 ,,245.54 ,257.82 ,270.71 
EC105,Electricity: Basic levy,,,,,,,,
EC105,Electricity: Consumption,,,,,,,,
EC105,Water: Basic levy,,,,94.86 ,,100.55 ,105.58 ,110.86 
EC105,Water: Consumption,,,,70.32 ,,74.54 ,78.27 ,82.18 
EC105,Sanitation,,,,,,,,
EC105,Refuse removal,,,,89.89 ,,95.28 ,100.05 ,105.05 
EC105,Other,,,,23.39 ,,24.79 ,26.03 ,27.33 
EC105,sub-total,,,,510.10 ,,540.71 ,567.74 ,596.13 
EC105,VAT on Services,,,,,,,,
EC105,Total large household bill:,,,,510.10 ,,540.71 ,567.74 ,596.13 
EC105,% increase/-decrease,,,,,(100.00),,5.00 ,5.00 
EC106,Monthly Account for Household - Middle Income Range,,,,,,,,
EC106,Rates and services charges:,,,,,,,,
EC106,Property rates,636.45 ,678.46 ,"8,662.58 ",678.70 ,678.70 ,713.99 ,752.55 ,793.18 
EC106,Electricity: Basic levy,207.61 ,221.31 ,576.32 ,51.31 ,51.31 ,58.19 ,65.99 ,74.83 
EC106,Electricity: Consumption,"1,242.53 ","1,324.54 ","18,974.32 ",922.71 ,922.71 ,"1,046.35 ","1,186.56 ","1,345.56 "
EC106,Water: Basic levy,329.19 ,350.92 ,578.65 ,32.51 ,32.51 ,34.20 ,36.05 ,38.00 
EC106,Water: Consumption,108.70 ,115.87 ,"3,140.61 ",275.59 ,275.59 ,289.92 ,305.58 ,322.08 
EC106,Sanitation,42.83 ,45.66 ,578.65 ,50.78 ,50.78 ,53.42 ,56.30 ,59.34 
EC106,Refuse removal,73.93 ,78.81 ,998.75 ,87.64 ,87.64 ,92.20 ,97.18 ,102.42 
EC106,Other,,,,,,,,
EC106,sub-total,"2,641.24 ","2,815.56 ","33,509.88 ","2,099.24 ","2,099.24 ","2,288.27 ","2,500.20 ","2,735.41 "
EC106,VAT on Services,280.67 ,299.19 ,"3,478.62 ",213.08 ,213.08 ,236.14 ,262.15 ,291.33 
EC106,Total large household bill:,"2,921.91 ","3,114.76 ","36,988.50 ","2,312.32 ","2,312.32 ","2,524.41 ","2,762.34 ","3,026.74 "
EC106,% increase/-decrease,,6.60 ,"1,087.52 ",(93.75),,9.17 ,9.43 ,9.57 
EC106,Monthly Account for Household - Affordable Range,,,,,,,,
EC106,Rates and services charges:,,,,,,,,
EC106,Property rates,454.61 ,484.61 ,"14,850.14 ","1,140.21 ","1,140.21 ","1,199.50 ","1,264.28 ","1,332.55 "
EC106,Electricity: Basic levy,207.61 ,221.31 ,576.32 ,102.63 ,102.63 ,116.38 ,131.97 ,149.66 
EC106,Electricity: Consumption,300.64 ,320.48 ,"8,329.76 ","1,278.99 ","1,278.99 ","1,450.37 ","1,644.72 ","1,865.11 "
EC106,Water: Basic levy,27.43 ,29.24 ,578.65 ,65.03 ,65.03 ,68.41 ,72.10 ,76.00 
EC106,Water: Consumption,108.70 ,115.87 ,"2,538.00 ",445.42 ,445.42 ,468.58 ,493.88 ,520.55 
EC106,Sanitation,42.83 ,45.66 ,578.65 ,101.55 ,101.55 ,106.83 ,112.60 ,118.68 
EC106,Refuse removal,73.93 ,78.81 ,998.75 ,175.28 ,175.28 ,184.40 ,194.35 ,204.85 
EC106,Other,,,,,,,,
EC106,sub-total,"1,215.75 ","1,295.99 ","28,450.27 ","3,309.10 ","3,309.10 ","3,594.47 ","3,913.91 ","4,267.39 "
EC106,VAT on Services,106.56 ,113.59 ,"1,904.02 ",325.33 ,325.33 ,359.24 ,397.44 ,440.23 
EC106,Total large household bill:,"1,322.31 ","1,409.58 ","30,354.28 ","3,634.44 ","3,634.44 ","3,953.71 ","4,311.35 ","4,707.62 "
EC106,% increase/-decrease,,6.60 ,"2,053.42 ",(88.03),,8.78 ,9.05 ,9.19 
EC106,Monthly Account for Household - Indigent HH receiving FBS,,,,,,,,
EC106,Rates and services charges:,,,,,,,,
EC106,Property rates,272.77 ,290.77 ,"3,712.53 ",244.33 ,244.33 ,257.04 ,270.92 ,285.55 
EC106,Electricity: Basic levy,207.61 ,221.31 ,576.32 ,51.31 ,51.31 ,58.19 ,65.99 ,74.83 
EC106,Electricity: Consumption,300.64 ,320.48 ,"4,613.35 ",410.74 ,410.74 ,465.78 ,528.20 ,598.97 
EC106,Water: Basic levy,27.43 ,29.24 ,578.65 ,32.51 ,32.51 ,34.20 ,36.05 ,38.00 
EC106,Water: Consumption,108.70 ,115.87 ,"1,467.76 ",128.80 ,128.80 ,135.49 ,142.81 ,150.52 
EC106,Sanitation,42.83 ,45.66 ,578.65 ,50.78 ,50.78 ,53.42 ,56.30 ,59.34 
EC106,Refuse removal,73.93 ,78.81 ,998.75 ,87.64 ,87.64 ,92.20 ,97.18 ,102.42 
EC106,Other,,,,,,,,
EC106,sub-total,"1,033.91 ","1,102.15 ","12,526.01 ","1,006.11 ","1,006.11 ","1,096.32 ","1,197.44 ","1,309.63 "
EC106,VAT on Services,106.56 ,113.59 ,"1,233.89 ",114.27 ,,125.89 ,,
EC106,Total large household bill:,"1,140.47 ","1,215.74 ","13,759.89 ","1,120.38 ","1,006.11 ","1,222.21 ","1,197.44 ","1,309.63 "
EC106,% increase/-decrease,,6.60 ,"1,031.81 ",(91.86),(10.20),21.48 ,(2.03),9.37 
EC108,Monthly Account for Household - Middle Income Range,,,,,,,,
EC108,Rates and services charges:,,,,,,,,
EC108,Property rates,,,,"5,343.00 ","5,343.00 ","5,743.73 ","6,174.51 ","6,637.60 "
EC108,Electricity: Basic levy,,,,192.60 ,192.60 ,219.20 ,249.47 ,283.92 
EC108,Electricity: Consumption,,,,"1,553.75 ","1,553.75 ","1,768.32 ","2,012.52 ","2,290.45 "
EC108,Water: Basic levy,,,,104.59 ,104.59 ,112.43 ,120.86 ,129.93 
EC108,Water: Consumption,,,,315.05 ,315.05 ,338.68 ,364.08 ,391.39 
EC108,Sanitation,,,,449.21 ,449.21 ,485.17 ,523.98 ,565.90 
EC108,Refuse removal,,,,159.83 ,159.83 ,172.62 ,186.43 ,201.34 
EC108,Other,,,,39.70 ,39.70 ,41.69 ,43.77 ,45.96 
EC108,sub-total,,,,"8,157.73 ","8,157.73 ","8,881.84 ","9,675.64 ","10,546.50 "
EC108,VAT on Services,,,,422.21 ,422.21 ,470.72 ,525.17 ,586.34 
EC108,Total large household bill:,,,,"8,579.94 ","8,579.94 ","9,352.56 ","10,200.81 ","11,132.83 "
EC108,% increase/-decrease,,,,,,9.00 ,9.07 ,9.14 
EC108,Monthly Account for Household - Affordable Range,,,,,,,,
EC108,Rates and services charges:,,,,,,,,
EC108,Property rates,,,,"3,783.00 ","3,783.00 ","4,066.73 ","4,371.73 ","4,699.61 "
EC108,Electricity: Basic levy,,,,192.60 ,192.60 ,219.20 ,249.47 ,283.92 
EC108,Electricity: Consumption,,,,608.25 ,608.25 ,692.25 ,787.85 ,896.65 
EC108,Water: Basic levy,,,,104.59 ,104.59 ,112.43 ,120.86 ,129.93 
EC108,Water: Consumption,,,,252.50 ,252.50 ,271.44 ,291.80 ,313.68 
EC108,Sanitation,,,,298.05 ,298.05 ,417.24 ,450.62 ,486.67 
EC108,Refuse removal,,,,159.83 ,159.83 ,172.62 ,186.43 ,201.34 
EC108,Other,,,,39.70 ,39.70 ,41.69 ,43.77 ,45.96 
EC108,sub-total,,,,"5,438.52 ","5,438.52 ","5,993.60 ","6,502.54 ","7,057.78 "
