Geography,Financial Year,Budget Phase,Class,Total,Percent Increase
EC108,2017/18,Audited Outcome,Middle Income Range,,
EC108,2018/19,Original Budget,Middle Income Range,8579.94,
EC108,2018/19,Adjusted Budget,Middle Income Range,8579.94,
EC108,2019/20,Budget Year,Middle Income Range,9352.56,9.0
EC108,2020/21,Budget Year,Middle Income Range,10200.81,9.07
EC108,2021/22,Budget Year,Middle Income Range,11132.83,9.14
EC108,2015/16,Audited Outcome,Affordable Range,,
EC108,2016/17,Audited Outcome,Affordable Range,,
EC108,2017/18,Audited Outcome,Affordable Range,,
EC108,2018/19,Original Budget,Affordable Range,5686.85,
EC108,2018/19,Adjusted Budget,Affordable Range,5686.85,
EC108,2019/20,Budget Year,Affordable Range,6282.63,10.48
EC108,2020/21,Budget Year,Affordable Range,6822.16,8.59
EC108,2021/22,Budget Year,Affordable Range,7411.5,8.64
EC108,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC108,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC108,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC108,2018/19,Original Budget,Indigent HH receiving FBS,2247.52,
EC108,2018/19,Adjusted Budget,Indigent HH receiving FBS,2247.52,
EC108,2019/20,Budget Year,Indigent HH receiving FBS,2440.77,8.6
EC108,2020/21,Budget Year,Indigent HH receiving FBS,2651.89,8.65
EC108,2021/22,Budget Year,Indigent HH receiving FBS,2882.67,8.7
EC109,2015/16,Audited Outcome,Middle Income Range,,
EC109,2016/17,Audited Outcome,Middle Income Range,,
EC109,2017/18,Audited Outcome,Middle Income Range,,
EC109,2018/19,Original Budget,Middle Income Range,,
EC109,2018/19,Adjusted Budget,Middle Income Range,,
EC109,2019/20,Budget Year,Middle Income Range,,
EC109,2020/21,Budget Year,Middle Income Range,,
EC109,2021/22,Budget Year,Middle Income Range,,
EC109,2015/16,Audited Outcome,Affordable Range,,
EC109,2016/17,Audited Outcome,Affordable Range,,
EC109,2017/18,Audited Outcome,Affordable Range,,
EC109,2018/19,Original Budget,Affordable Range,,
EC109,2018/19,Adjusted Budget,Affordable Range,,
EC109,2019/20,Budget Year,Affordable Range,,
EC109,2020/21,Budget Year,Affordable Range,,
EC109,2021/22,Budget Year,Affordable Range,,
EC109,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC109,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC109,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC109,2018/19,Original Budget,Indigent HH receiving FBS,,
EC109,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
EC109,2019/20,Budget Year,Indigent HH receiving FBS,17676.0,
EC109,2020/21,Budget Year,Indigent HH receiving FBS,17676.0,
EC109,2021/22,Budget Year,Indigent HH receiving FBS,17676.0,
DC10,2015/16,Audited Outcome,Middle Income Range,,
DC10,2016/17,Audited Outcome,Middle Income Range,,
DC10,2017/18,Audited Outcome,Middle Income Range,,
DC10,2018/19,Original Budget,Middle Income Range,,
DC10,2018/19,Adjusted Budget,Middle Income Range,,
DC10,2019/20,Budget Year,Middle Income Range,,
DC10,2020/21,Budget Year,Middle Income Range,,
DC10,2021/22,Budget Year,Middle Income Range,,
DC10,2015/16,Audited Outcome,Affordable Range,,
DC10,2016/17,Audited Outcome,Affordable Range,,
DC10,2017/18,Audited Outcome,Affordable Range,,
DC10,2018/19,Original Budget,Affordable Range,,
DC10,2018/19,Adjusted Budget,Affordable Range,,
DC10,2019/20,Budget Year,Affordable Range,,
DC10,2020/21,Budget Year,Affordable Range,,
DC10,2021/22,Budget Year,Affordable Range,,
DC10,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC10,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC10,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC10,2018/19,Original Budget,Indigent HH receiving FBS,,
DC10,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC10,2019/20,Budget Year,Indigent HH receiving FBS,,
DC10,2020/21,Budget Year,Indigent HH receiving FBS,,
DC10,2021/22,Budget Year,Indigent HH receiving FBS,,
EC121,2015/16,Audited Outcome,Middle Income Range,,
EC121,2016/17,Audited Outcome,Middle Income Range,,
EC121,2017/18,Audited Outcome,Middle Income Range,,
EC121,2018/19,Original Budget,Middle Income Range,,
EC121,2018/19,Adjusted Budget,Middle Income Range,,
EC121,2019/20,Budget Year,Middle Income Range,,
EC121,2020/21,Budget Year,Middle Income Range,,
EC121,2021/22,Budget Year,Middle Income Range,,
EC121,2015/16,Audited Outcome,Affordable Range,,
EC121,2016/17,Audited Outcome,Affordable Range,,
EC121,2017/18,Audited Outcome,Affordable Range,,
EC121,2018/19,Original Budget,Affordable Range,,
EC121,2018/19,Adjusted Budget,Affordable Range,,
EC121,2019/20,Budget Year,Affordable Range,,
EC121,2020/21,Budget Year,Affordable Range,,
EC121,2021/22,Budget Year,Affordable Range,,
EC121,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC121,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC121,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC121,2018/19,Original Budget,Indigent HH receiving FBS,,
EC121,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
EC121,2019/20,Budget Year,Indigent HH receiving FBS,,
EC121,2020/21,Budget Year,Indigent HH receiving FBS,,
EC121,2021/22,Budget Year,Indigent HH receiving FBS,,
EC122,2015/16,Audited Outcome,Middle Income Range,,
EC122,2016/17,Audited Outcome,Middle Income Range,,
EC122,2017/18,Audited Outcome,Middle Income Range,,
EC122,2018/19,Original Budget,Middle Income Range,,
EC122,2018/19,Adjusted Budget,Middle Income Range,,
EC122,2019/20,Budget Year,Middle Income Range,,
EC122,2020/21,Budget Year,Middle Income Range,,
EC122,2021/22,Budget Year,Middle Income Range,,
EC122,2015/16,Audited Outcome,Affordable Range,,
EC122,2016/17,Audited Outcome,Affordable Range,,
EC122,2017/18,Audited Outcome,Affordable Range,,
EC122,2018/19,Original Budget,Affordable Range,,
EC122,2018/19,Adjusted Budget,Affordable Range,,
EC122,2019/20,Budget Year,Affordable Range,,
EC122,2020/21,Budget Year,Affordable Range,,
EC122,2021/22,Budget Year,Affordable Range,,
EC122,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC122,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC122,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC122,2018/19,Original Budget,Indigent HH receiving FBS,,
EC122,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
EC122,2019/20,Budget Year,Indigent HH receiving FBS,,
EC122,2020/21,Budget Year,Indigent HH receiving FBS,,
EC122,2021/22,Budget Year,Indigent HH receiving FBS,,
EC123,2015/16,Audited Outcome,Middle Income Range,375.07,
EC123,2016/17,Audited Outcome,Middle Income Range,375.07,
EC123,2017/18,Audited Outcome,Middle Income Range,271.73,-27.55
EC123,2018/19,Original Budget,Middle Income Range,308.22,13.43
EC123,2018/19,Adjusted Budget,Middle Income Range,308.22,
EC123,2019/20,Budget Year,Middle Income Range,324.25,5.2
EC123,2020/21,Budget Year,Middle Income Range,,-100.0
EC123,2021/22,Budget Year,Middle Income Range,,
EC123,2015/16,Audited Outcome,Affordable Range,124.43,
EC123,2016/17,Audited Outcome,Affordable Range,124.43,
EC123,2017/18,Audited Outcome,Affordable Range,0.87,-99.3
EC123,2018/19,Original Budget,Affordable Range,,-100.0
EC123,2018/19,Adjusted Budget,Affordable Range,,
EC123,2019/20,Budget Year,Affordable Range,,
EC123,2020/21,Budget Year,Affordable Range,,
EC123,2021/22,Budget Year,Affordable Range,,
EC123,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC123,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC123,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC123,2018/19,Original Budget,Indigent HH receiving FBS,,
EC123,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
EC123,2019/20,Budget Year,Indigent HH receiving FBS,,
EC123,2020/21,Budget Year,Indigent HH receiving FBS,,
EC123,2021/22,Budget Year,Indigent HH receiving FBS,,
EC124,2015/16,Audited Outcome,Middle Income Range,,
EC124,2016/17,Audited Outcome,Middle Income Range,,
EC124,2017/18,Audited Outcome,Middle Income Range,,
EC124,2018/19,Original Budget,Middle Income Range,,
EC124,2018/19,Adjusted Budget,Middle Income Range,,
EC124,2019/20,Budget Year,Middle Income Range,,
EC124,2020/21,Budget Year,Middle Income Range,,
EC124,2021/22,Budget Year,Middle Income Range,,
EC124,2015/16,Audited Outcome,Affordable Range,,
EC124,2016/17,Audited Outcome,Affordable Range,,
EC124,2017/18,Audited Outcome,Affordable Range,,
EC124,2018/19,Original Budget,Affordable Range,,
EC124,2018/19,Adjusted Budget,Affordable Range,,
EC124,2019/20,Budget Year,Affordable Range,,
EC124,2020/21,Budget Year,Affordable Range,,
EC124,2021/22,Budget Year,Affordable Range,,
EC124,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC124,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC124,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC124,2018/19,Original Budget,Indigent HH receiving FBS,,
EC124,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
EC124,2019/20,Budget Year,Indigent HH receiving FBS,,
EC124,2020/21,Budget Year,Indigent HH receiving FBS,,
EC124,2021/22,Budget Year,Indigent HH receiving FBS,,
EC126,2015/16,Audited Outcome,Middle Income Range,,
EC126,2016/17,Audited Outcome,Middle Income Range,,
EC126,2017/18,Audited Outcome,Middle Income Range,,
EC126,2018/19,Original Budget,Middle Income Range,181.07,
EC126,2018/19,Adjusted Budget,Middle Income Range,181.07,
EC126,2019/20,Budget Year,Middle Income Range,190.49,5.2
EC126,2020/21,Budget Year,Middle Income Range,190.49,
EC126,2021/22,Budget Year,Middle Income Range,190.49,
EC126,2015/16,Audited Outcome,Affordable Range,,
EC126,2016/17,Audited Outcome,Affordable Range,,
EC126,2017/18,Audited Outcome,Affordable Range,,
EC126,2018/19,Original Budget,Affordable Range,1514.24,
EC126,2018/19,Adjusted Budget,Affordable Range,1596.01,5.4
EC126,2019/20,Budget Year,Affordable Range,1592.89,-5.4
EC126,2020/21,Budget Year,Affordable Range,1679.0,5.41
EC126,2021/22,Budget Year,Affordable Range,1771.35,5.5
EC126,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC126,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC126,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC126,2018/19,Original Budget,Indigent HH receiving FBS,,
EC126,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
EC126,2019/20,Budget Year,Indigent HH receiving FBS,,
EC126,2020/21,Budget Year,Indigent HH receiving FBS,,
EC126,2021/22,Budget Year,Indigent HH receiving FBS,,
EC129,2015/16,Audited Outcome,Middle Income Range,,
EC129,2016/17,Audited Outcome,Middle Income Range,,
EC129,2017/18,Audited Outcome,Middle Income Range,,
EC129,2018/19,Original Budget,Middle Income Range,,
EC129,2018/19,Adjusted Budget,Middle Income Range,,
EC129,2019/20,Budget Year,Middle Income Range,,
EC129,2020/21,Budget Year,Middle Income Range,,
EC129,2021/22,Budget Year,Middle Income Range,,
EC129,2015/16,Audited Outcome,Affordable Range,,
EC129,2016/17,Audited Outcome,Affordable Range,,
EC129,2017/18,Audited Outcome,Affordable Range,,
EC129,2018/19,Original Budget,Affordable Range,,
EC129,2018/19,Adjusted Budget,Affordable Range,,
EC129,2019/20,Budget Year,Affordable Range,,
EC129,2020/21,Budget Year,Affordable Range,,
EC129,2021/22,Budget Year,Affordable Range,,
EC129,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC129,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC129,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC129,2018/19,Original Budget,Indigent HH receiving FBS,,
EC129,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
EC129,2019/20,Budget Year,Indigent HH receiving FBS,,
EC129,2020/21,Budget Year,Indigent HH receiving FBS,,
EC129,2021/22,Budget Year,Indigent HH receiving FBS,,
DC12,2015/16,Audited Outcome,Middle Income Range,389.27,
DC12,2016/17,Audited Outcome,Middle Income Range,389.27,
DC12,2017/18,Audited Outcome,Middle Income Range,412.29,5.91
DC12,2018/19,Original Budget,Middle Income Range,472.9,14.7
DC12,2018/19,Adjusted Budget,Middle Income Range,472.9,
DC12,2019/20,Budget Year,Middle Income Range,501.27,6.0
DC12,2020/21,Budget Year,Middle Income Range,531.35,6.0
DC12,2021/22,Budget Year,Middle Income Range,563.23,6.0
DC12,2015/16,Audited Outcome,Affordable Range,389.27,
DC12,2016/17,Audited Outcome,Affordable Range,389.27,
DC12,2017/18,Audited Outcome,Affordable Range,412.29,5.91
DC12,2018/19,Original Budget,Affordable Range,472.9,14.7
DC12,2018/19,Adjusted Budget,Affordable Range,472.9,
DC12,2019/20,Budget Year,Affordable Range,501.27,6.0
DC12,2020/21,Budget Year,Affordable Range,531.35,6.0
DC12,2021/22,Budget Year,Affordable Range,563.23,6.0
DC12,2015/16,Audited Outcome,Indigent HH receiving FBS,389.27,
DC12,2016/17,Audited Outcome,Indigent HH receiving FBS,389.27,
DC12,2017/18,Audited Outcome,Indigent HH receiving FBS,412.29,5.91
DC12,2018/19,Original Budget,Indigent HH receiving FBS,472.9,14.7
DC12,2018/19,Adjusted Budget,Indigent HH receiving FBS,472.9,
DC12,2019/20,Budget Year,Indigent HH receiving FBS,501.27,6.0
DC12,2020/21,Budget Year,Indigent HH receiving FBS,531.35,6.0
DC12,2021/22,Budget Year,Indigent HH receiving FBS,563.23,6.0
EC131,2015/16,Audited Outcome,Middle Income Range,2197.14,
EC131,2016/17,Audited Outcome,Middle Income Range,2262.34,2.97
EC131,2017/18,Audited Outcome,Middle Income Range,2304.74,1.87
EC131,2018/19,Original Budget,Middle Income Range,2334.0,1.27
EC131,2018/19,Adjusted Budget,Middle Income Range,2334.0,
EC131,2019/20,Budget Year,Middle Income Range,2464.7,5.6
EC131,2020/21,Budget Year,Middle Income Range,2597.8,5.4
EC131,2021/22,Budget Year,Middle Income Range,2738.08,5.4
EC131,2015/16,Audited Outcome,Affordable Range,99.0,
EC131,2016/17,Audited Outcome,Affordable Range,116.0,17.17
EC131,2017/18,Audited Outcome,Affordable Range,127.6,10.0
EC131,2018/19,Original Budget,Affordable Range,1874.0,1368.65
EC131,2018/19,Adjusted Budget,Affordable Range,1744.0,-6.94
EC131,2019/20,Budget Year,Affordable Range,1978.94,13.47
EC131,2020/21,Budget Year,Affordable Range,20858.07,954.0
EC131,2021/22,Budget Year,Affordable Range,21984.41,5.4
EC131,2015/16,Audited Outcome,Indigent HH receiving FBS,202.0,
EC131,2016/17,Audited Outcome,Indigent HH receiving FBS,232.0,14.85
EC131,2017/18,Audited Outcome,Indigent HH receiving FBS,251.6,8.45
EC131,2018/19,Original Budget,Indigent HH receiving FBS,218.0,-13.35
EC131,2018/19,Adjusted Budget,Indigent HH receiving FBS,218.0,
EC131,2019/20,Budget Year,Indigent HH receiving FBS,230.21,5.6
EC131,2020/21,Budget Year,Indigent HH receiving FBS,242.64,5.4
EC131,2021/22,Budget Year,Indigent HH receiving FBS,255.74,5.4
EC135,2015/16,Audited Outcome,Middle Income Range,,
EC135,2016/17,Audited Outcome,Middle Income Range,,
EC135,2017/18,Audited Outcome,Middle Income Range,,
EC135,2018/19,Original Budget,Middle Income Range,,
EC135,2018/19,Adjusted Budget,Middle Income Range,,
EC135,2019/20,Budget Year,Middle Income Range,,
EC135,2020/21,Budget Year,Middle Income Range,,
EC135,2021/22,Budget Year,Middle Income Range,,
EC135,2015/16,Audited Outcome,Affordable Range,,
EC135,2016/17,Audited Outcome,Affordable Range,,
EC135,2017/18,Audited Outcome,Affordable Range,,
EC135,2018/19,Original Budget,Affordable Range,,
EC135,2018/19,Adjusted Budget,Affordable Range,,
EC135,2019/20,Budget Year,Affordable Range,,
EC135,2020/21,Budget Year,Affordable Range,,
EC135,2021/22,Budget Year,Affordable Range,,
EC135,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC135,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC135,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC135,2018/19,Original Budget,Indigent HH receiving FBS,,
EC135,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
EC135,2019/20,Budget Year,Indigent HH receiving FBS,,
EC135,2020/21,Budget Year,Indigent HH receiving FBS,,
EC135,2021/22,Budget Year,Indigent HH receiving FBS,,
EC136,2015/16,Audited Outcome,Middle Income Range,1908.63,
EC136,2016/17,Audited Outcome,Middle Income Range,2020.66,5.87
EC136,2017/18,Audited Outcome,Middle Income Range,2080.52,2.96
